skillset,level,keyword
Python,Beginner,"Variables, Loops, Functions, Lists, Strings, Conditionals, Dictionaries, File Handling, Modules, Error Handling"
Python,Intermediate,"Classes and Objects, File I/O, Regular Expressions, Decorators, Generators, Unit Testing, Exception Handling, Multithreading, JSON, Virtual Environments"
Python,Expert,"Metaclasses, Context Managers, Closures, Reflection, Descriptors, Decorators with Arguments, Packaging and Distribution, Profiling and Optimization, Concurrency, Design Patterns"
Python,Conversant,"Decorators with Multiple Layers, Abstract Base Classes, Asyncio, Metaprogramming, Multiprocessing, Profiling Memory Usage, Python Extensions (C/C++ Integration), Web Frameworks (e.g., Django, Flask), Web Scraping, Data Serialization"
Data Science,Beginner,"Data Analysis, Python Programming, SQL, Data Cleaning, Exploratory Data Analysis (EDA), Machine Learning, Data Visualization, Probability and Statistics, Data Wrangling, Supervised Learning"
Data Science,Intermediate,"Advanced Python, Feature Selection, Unsupervised Learning, Model Evaluation, Time Series Analysis, Natural Language Processing (NLP), Model Deployment, Deep Learning, A/B Testing, Data Ethics and Privacy"
Data Science,Expert,"Advanced Statistics, Ensemble Methods, Reinforcement Learning, Large-Scale Data Processing, Deep Learning Architectures, Optimization, Recommender Systems, Neural Network Architectures, Time Series Forecasting, Causal Inference"
Data Science,Conversant,"Data Governance, Cloud Computing, Scalability and Performance Optimization, Data Engineering, Data Security, DevOps, Model Interpretability, Advanced Data Visualization, Advanced NLP, Time Series Anomaly Detection"
Web Development,Beginner,"HTML, CSS, JavaScript, Responsive Design, Git, Command Line, Basic Design Principles, Browser Developer Tools, DOM Manipulation, Basic HTTP"
Web Development,Intermediate,"CSS Frameworks (e.g., Bootstrap), JavaScript Libraries (e.g., jQuery), Front-End Frameworks (e.g., React, Angular, Vue.js), Version Control (e.g., Git), Server-Side Programming (e.g., Node.js, PHP), RESTful APIs, Database Integration (e.g., MySQL, MongoDB), Web Performance Optimization, Browser Compatibility"
Web Development,Expert,"Advanced JavaScript Concepts (e.g., Closures, Prototypes), MVC/MVVM Architectures, Server-Side Frameworks (e.g., Express, Django, Ruby on Rails), Security Best Practices, Authentication and Authorization, Testing and Debugging, Performance Tuning, DevOps and Deployment, Scalability and Load Balancing, Continuous Integration/Continuous Deployment (CI/CD)"
Web Development,Conversant,"Progressive Web Apps (PWA), Single-Page Applications (SPA), Microservices Architecture, GraphQL, WebSockets, Cloud Computing and Serverless Architecture, Web Accessibility, SEO and Metadata, Web Analytics and Tracking, Content Management Systems (CMS)"
